Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"FADS1","Fatty Acid Desaturase 1","Protein Coding","O60427","55","GC11M061799","2.87771368026733","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADS1"
"IPO9","Importin 9","Protein Coding","Q96P70","41","GC01P201829","2.8768424987793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IPO9"
"HNRNPA0","Heterogeneous Nuclear Ribonucleoprotein A0","Protein Coding","Q13151","43","GC05M137750","2.87582898139954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA0"
"TIRAP","TIR Domain Containing Adaptor Protein","Protein Coding","P58753","55","GC11P126284","2.8752748966217","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIRAP"
"MYL1","Myosin Light Chain 1","Protein Coding","P05976","55","GC02M210290","2.8751072883606","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYL1"
"CHRNA1","Cholinergic Receptor Nicotinic Alpha 1 Subunit","Protein Coding","P02708","59","GC02M174747","2.87502503395081","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA1"
"TCP10L","T-Complex 10 Like","Protein Coding","Q8TDR4","39","GC21M032497","2.87497019767761","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCP10L"
"MARVELD1","MARVEL Domain Containing 1","Protein Coding","Q9BSK0","41","GC10P097713","2.87334442138672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARVELD1"
"PTGDR2","Prostaglandin D2 Receptor 2","Protein Coding","Q9Y5Y4","55","GC11M060850","2.87322378158569","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGDR2"
"PTPRA","Protein Tyrosine Phosphatase Receptor Type A","Protein Coding","P18433","55","GC20P002864","2.87250590324402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRA"
"ABT1","Activator Of Basal Transcription 1","Protein Coding","Q9ULW3","44","GC06P144573","2.87233757972717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABT1"
"CCL15","C-C Motif Chemokine Ligand 15","Protein Coding","Q16663","45","GC17M035996","2.87159085273743","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL15"
"GDF11","Growth Differentiation Factor 11","Protein Coding","O95390","55","GC12P055743","2.87158179283142","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF11"
"SORL1","Sortilin Related Receptor 1","Protein Coding","Q92673","58","GC11P121452","2.87014865875244","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORL1"
"HLA-DRB6","Major Histocompatibility Complex, Class II, DR Beta 6 (Pseudogene)","Pseudogene","","17","GC06M097157","2.86991548538208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB6"
"FOXJ1","Forkhead Box J1","Protein Coding","Q92949","51","GC17M076136","2.86983919143677","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXJ1"
"LMAN1","Lectin, Mannose Binding 1","Protein Coding","P49257","58","GC18M059327","2.86941576004028","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMAN1"
"SUPT5H","SPT5 Homolog, DSIF Elongation Factor Subunit","Protein Coding","O00267","52","GC19P039436","2.86805582046509","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUPT5H"
"WDR62","WD Repeat Domain 62","Protein Coding","O43379","51","GC19P036054","2.86797690391541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR62"
"CALCOCO2","Calcium Binding And Coiled-Coil Domain 2","Protein Coding","Q13137","50","GC17P123314","2.86730623245239","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCOCO2"
"DDX4","DEAD-Box Helicase 4","Protein Coding","Q9NQI0","51","GC05P055738","2.86721181869507","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX4"
"LINC01600","Long Intergenic Non-Protein Coding RNA 1600","RNA Gene","Q96MT4","31","GC06M002621","2.86642217636108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01600"
"RAB33B","RAB33B, Member RAS Oncogene Family","Protein Coding","Q9H082","52","GC04P139439","2.86636590957642","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB33B"
"GATD3","Glutamine Amidotransferase Class 1 Domain Containing 3","Protein Coding","P0DPI2","44","GC21P048818","2.86617732048035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATD3"
"BRAP","BRCA1 Associated Protein","Protein Coding","Q7Z569","49","GC12M111642","2.8657341003418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAP"
"GEMIN5","Gem Nuclear Organelle Associated Protein 5","Protein Coding","Q8TEQ6","48","GC05M154887","2.86502981185913","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GEMIN5"
"REG3G","Regenerating Family Member 3 Gamma","Protein Coding","Q6UW15","47","GC02P079025","2.86431264877319","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REG3G"
"MIR891A","MicroRNA 891a","RNA Gene","","13","GC0XM146027","2.86413073539734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR891A"
"RGS1","Regulator Of G Protein Signaling 1","Protein Coding","Q08116","50","GC01P192575","2.86376237869263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS1"
"RAB5B","RAB5B, Member RAS Oncogene Family","Protein Coding","P61020","50","GC12P055973","2.8626880645752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB5B"
"GPR3","G Protein-Coupled Receptor 3","Protein Coding","P46089","48","GC01P052807","2.86187314987183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR3"
"CACNA1B","Calcium Voltage-Gated Channel Subunit Alpha1 B","Protein Coding","Q00975","62","GC09P137877","2.86157178878784","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1B"
"CHRDL1","Chordin Like 1","Protein Coding","Q9BU40","52","GC0XM110674","2.86127471923828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRDL1"
"ELOVL4","ELOVL Fatty Acid Elongase 4","Protein Coding","Q9GZR5","58","GC06M079914","2.85989212989807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELOVL4"
"FTSJ3","FtsJ RNA 2'-O-Methyltransferase 3","Protein Coding","Q8IY81","47","GC17M063819","2.85944747924805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTSJ3"
"MIR320E","MicroRNA 320e","RNA Gene","","24","GC19M097086","2.85865950584412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR320E"
"THOC2","THO Complex Subunit 2","Protein Coding","Q8NI27","53","GC0XM123600","2.85824060440063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THOC2"
"SNORA31","Small Nucleolar RNA, H/ACA Box 31","RNA Gene","","21","GC13M045337","2.85737347602844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORA31"
"ZIC5","Zic Family Member 5","Protein Coding","Q96T25","44","GC13M099962","2.8569540977478","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZIC5"
"HBP1","HMG-Box Transcription Factor 1","Protein Coding","O60381","50","GC07P107168","2.85604310035706","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBP1"
"IL12RB2","Interleukin 12 Receptor Subunit Beta 2","Protein Coding","Q99665","56","GC01P067307","2.85560870170593","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12RB2"
"MAFTRR","MAF Transcriptional Regulator RNA","RNA Gene","","16","GC16M079657","2.85391759872437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAFTRR"
"COG5","Component Of Oligomeric Golgi Complex 5","Protein Coding","Q9UP83","52","GC07M107201","2.85347867012024","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COG5"
"TXNDC8","Thioredoxin Domain Containing 8","Protein Coding","Q6A555","39","GC09M111776","2.85244655609131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNDC8"
"GAL3ST3","Galactose-3-O-Sulfotransferase 3","Protein Coding","Q96A11","45","GC11M066040","2.85230112075806","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAL3ST3"
"MOB3B","MOB Kinase Activator 3B","Protein Coding","Q86TA1","48","GC09M029737","2.85204648971558","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOB3B"
"LACRT","Lacritin","Protein Coding","Q9GZZ8","45","GC12M059468","2.8508358001709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LACRT"
"ACBD3","Acyl-CoA Binding Domain Containing 3","Protein Coding","Q9H3P7","51","GC01M226144","2.8503942489624","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACBD3"
"CPSF6","Cleavage And Polyadenylation Specific Factor 6","Protein Coding","Q16630","48","GC12P069239","2.84979772567749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPSF6"
"DMP1","Dentin Matrix Acidic Phosphoprotein 1","Protein Coding","Q13316","55","GC04P087650","2.84941387176514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMP1"
"PCSK7","Proprotein Convertase Subtilisin/Kexin Type 7","Protein Coding","Q16549","54","GC11M130105","2.8489351272583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK7"
"SPPL3","Signal Peptide Peptidase Like 3","Protein Coding","Q8TCT6","41","GC12M123803","2.84826731681824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPPL3"
"CHN2","Chimerin 2","Protein Coding","P52757","52","GC07P029327","2.84764575958252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHN2"
"PPP6R3","Protein Phosphatase 6 Regulatory Subunit 3","Protein Coding","Q5H9R7","50","GC11P068460","2.84700059890747","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP6R3"
"PPAN","Peter Pan Homolog","Protein Coding","Q9NQ55","43","GC19P122278","2.84698343276978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPAN"
"MRPL44","Mitochondrial Ribosomal Protein L44","Protein Coding","Q9H9J2","53","GC02P223957","2.84675312042236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL44"
"NFIL3","Nuclear Factor, Interleukin 3 Regulated","Protein Coding","Q16649","50","GC09M091409","2.84550762176514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFIL3"
"TSGA10","Testis Specific 10","Protein Coding","Q9BZW7","44","GC02M098997","2.84545397758484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSGA10"
"NIHCOLE","NcRNA Involved In NHEJ Oncogenic Ligation Efficiency","RNA Gene","","20","GC05P104116","2.8445463180542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIHCOLE"
"LINC00488","Long Intergenic Non-Protein Coding RNA 488","RNA Gene","","17","GC03P109178","2.84423923492432","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00488"
"NKRF","NFKB Repressing Factor","Protein Coding","O15226","50","GC0XM119588","2.84344744682312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKRF"
"NEIL2","Nei Like DNA Glycosylase 2","Protein Coding","Q969S2","46","GC08P011769","2.84270429611206","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEIL2"
"FXYD2","FXYD Domain Containing Ion Transport Regulator 2","Protein Coding","P54710","54","GC11M117800","2.84238815307617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXYD2"
"MIR384","MicroRNA 384","RNA Gene","","13","GC0XM076919","2.84181261062622","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR384"
"VEZT","Vezatin, Adherens Junctions Transmembrane Protein","Protein Coding","Q9HBM0","45","GC12P095217","2.84026050567627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEZT"
"GPATCH2","G-Patch Domain Containing 2","Protein Coding","Q9NW75","45","GC01M217426","2.83995485305786","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPATCH2"
"VCPIP1","Valosin Containing Protein Interacting Protein 1","Protein Coding","Q96JH7","48","GC08M066628","2.83925294876099","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCPIP1"
"HAP1","Huntingtin Associated Protein 1","Protein Coding","P54257","52","GC17M041717","2.83841753005981","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAP1"
"UBE2G2","Ubiquitin Conjugating Enzyme E2 G2","Protein Coding","P60604","52","GC21M044768","2.83826780319214","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2G2"
"UBE3C","Ubiquitin Protein Ligase E3C","Protein Coding","Q15386","54","GC07P157138","2.83796811103821","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE3C"
"GLG1","Golgi Glycoprotein 1","Protein Coding","Q92896","51","GC16M074849","2.83700609207153","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLG1"
"TBC1D2","TBC1 Domain Family Member 2","Protein Coding","Q9BYX2","47","GC09M098198","2.83608293533325","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBC1D2"
"LINC00847","Long Intergenic Non-Protein Coding RNA 847","RNA Gene","","17","GC05P187766","2.83589720726013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00847"
"TMPRSS11A","Transmembrane Serine Protease 11A","Protein Coding","Q6ZMR5","47","GC04M067909","2.83576416969299","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS11A"
"SNRNP35","Small Nuclear Ribonucleoprotein U11/U12 Subunit 35","Protein Coding","Q16560","41","GC12P134744","2.83406019210815","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP35"
"DYNLL1","Dynein Light Chain LC8-Type 1","Protein Coding","P63167","51","GC12P120469","2.83356261253357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNLL1"
"DPM3","Dolichyl-Phosphate Mannosyltransferase Subunit 3, Regulatory","Protein Coding","Q9P2X0","52","GC01M155139","2.83241319656372","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPM3"
"ATP2C1","ATPase Secretory Pathway Ca2+ Transporting 1","Protein Coding","P98194","55","GC03P130850","2.8319091796875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2C1"
"ZCCHC8","Zinc Finger CCHC-Type Containing 8","Protein Coding","Q6NZY4","50","GC12M123850","2.8317449092865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZCCHC8"
"ERO1B","Endoplasmic Reticulum Oxidoreductase 1 Beta","Protein Coding","Q86YB8","53","GC01M236216","2.83168745040894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERO1B"
"ZFX","Zinc Finger Protein X-Linked","Protein Coding","P17010","47","GC0XP024148","2.83123254776001","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFX"
"LOC111188164","ADH1C Promoter Region","Functional Element","","2","GC04P099352","2.83026313781738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111188164"
"EIF3D","Eukaryotic Translation Initiation Factor 3 Subunit D","Protein Coding","O15371","45","GC22M036510","2.82922196388245","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3D"
"FAM167A","Family With Sequence Similarity 167 Member A","Protein Coding","Q96KS9","48","GC08M011421","2.8290057182312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM167A"
"CHMP1A","Charged Multivesicular Body Protein 1A","Protein Coding","Q9HD42","52","GC16M089644","2.82886242866516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP1A"
"C1GALT1C1","C1GALT1 Specific Chaperone 1","Protein Coding","Q96EU7","47","GC0XM120625","2.82865333557129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1GALT1C1"
"WBP2","WW Domain Binding Protein 2","Protein Coding","Q969T9","50","GC17M075845","2.82813858985901","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WBP2"
"ENSG00000272501","Novel Transcript, Antisense To HCG27","RNA Gene","","10","GC06M097054","2.82710695266724","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000272501"
"MIR518D","MicroRNA 518d","RNA Gene","","22","GC19P053734","2.82690954208374","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR518D"
"HSPE1","Heat Shock Protein Family E (Hsp10) Member 1","Protein Coding","P61604","54","GC02P197501","2.82607793807983","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPE1"
"RPS27L","Ribosomal Protein S27 Like","Protein Coding","Q71UM5","43","GC15M151623","2.82565140724182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS27L"
"PRSS50","Serine Protease 50","Protein Coding","Q9UI38","43","GC03M046712","2.82526636123657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRSS50"
"ELK3","ETS Transcription Factor ELK3","Protein Coding","P41970","47","GC12P096194","2.82441067695618","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELK3"
"GPD2","Glycerol-3-Phosphate Dehydrogenase 2","Protein Coding","P43304","59","GC02P156408","2.82416582107544","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPD2"
"RAB40B","RAB40B, Member RAS Oncogene Family","Protein Coding","Q12829","44","GC17M082654","2.82398915290833","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB40B"
"ALOX5AP","Arachidonate 5-Lipoxygenase Activating Protein","Protein Coding","P20292","56","GC13P030713","2.82362294197083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5AP"
"ELMO1","Engulfment And Cell Motility 1","Protein Coding","Q92556","52","GC07M036860","2.8232855796814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELMO1"
"NUP155","Nucleoporin 155","Protein Coding","O75694","57","GC05M037288","2.82302141189575","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP155"
"UGT1A10","UDP Glucuronosyltransferase Family 1 Member A10","Protein Coding","Q9HAW8","54","GC02P233636","2.82263398170471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A10"
"ATG9B","Autophagy Related 9B","Protein Coding","Q674R7","48","GC07M151012","2.82233858108521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG9B"
"TMBIM6","Transmembrane BAX Inhibitor Motif Containing 6","Protein Coding","P55061","48","GC12P049707","2.82208275794983","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMBIM6"
"MIR1231","MicroRNA 1231","RNA Gene","","19","GC01P201808","2.81935358047485","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1231"
"COLEC10","Collectin Subfamily Member 10","Protein Coding","Q9Y6Z7","53","GC08P118952","2.81909465789795","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COLEC10"
"KATNA1","Katanin Catalytic Subunit A1","Protein Coding","O75449","51","GC06M149594","2.81876420974731","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KATNA1"
"KCNA2","Potassium Voltage-Gated Channel Subfamily A Member 2","Protein Coding","P16389","58","GC01M110519","2.81594800949097","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNA2"
"HSPBP1","HSPA (Hsp70) Binding Protein 1","Protein Coding","Q9NZL4","44","GC19M055262","2.8157844543457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPBP1"
"MIR519A1","MicroRNA 519a-1","RNA Gene","","22","GC19P053752","2.81532835960388","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR519A1"
"ASPM","Assembly Factor For Spindle Microtubules","Protein Coding","Q8IZT6","50","GC01M197084","2.81492638587952","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPM"
"EVA1A","Eva-1 Homolog A, Regulator Of Programmed Cell Death","Protein Coding","Q9H8M9","43","GC02M075469","2.81468057632446","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EVA1A"
"CDC42EP2","CDC42 Effector Protein 2","Protein Coding","O14613","44","GC11P094618","2.8140926361084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42EP2"
"PYCR3","Pyrroline-5-Carboxylate Reductase 3","Protein Coding","Q53H96","48","GC08M143610","2.81368684768677","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYCR3"
"RAB6A","RAB6A, Member RAS Oncogene Family","Protein Coding","P20340","53","GC11M129277","2.81245803833008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB6A"
"CEBPZ","CCAAT Enhancer Binding Protein Zeta","Protein Coding","Q03701","46","GC02M037201","2.8122034072876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEBPZ"
"DCTN1","Dynactin Subunit 1","Protein Coding","Q14203","59","GC02M074361","2.81130027770996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCTN1"
"GTF3A","General Transcription Factor IIIA","Protein Coding","Q92664","46","GC13P027893","2.81088876724243","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF3A"
"LINC00882","Long Intergenic Non-Protein Coding RNA 882","RNA Gene","","19","GC03M106380","2.81070756912231","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00882"
"CEBPG","CCAAT Enhancer Binding Protein Gamma","Protein Coding","P53567","46","GC19P033373","2.80877256393433","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEBPG"
"CASK","Calcium/Calmodulin Dependent Serine Protein Kinase","Protein Coding","O14936","62","GC0XM041514","2.80866289138794","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASK"
"DSCAS","DSC1/DSC2 Antisense RNA","RNA Gene","","22","GC18P031101","2.80789971351624","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSCAS"
"GORASP1","Golgi Reassembly Stacking Protein 1","Protein Coding","Q9BQQ3","51","GC03M039096","2.80715894699097","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GORASP1"
"MAGEL2","MAGE Family Member L2","Protein Coding","Q9UJ55","50","GC15M023643","2.80707383155823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGEL2"
"SOX1","SRY-Box Transcription Factor 1","Protein Coding","O00570","50","GC13P112067","2.8064591884613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX1"
"FDFT1","Farnesyl-Diphosphate Farnesyltransferase 1","Protein Coding","P37268","58","GC08P011795","2.80616474151611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDFT1"
"NUDC","Nuclear Distribution C, Dynein Complex Regulator","Protein Coding","Q9Y266","55","GC01P052772","2.80607533454895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDC"
"RAB11FIP4","RAB11 Family Interacting Protein 4","Protein Coding","Q86YS3","43","GC17P031391","2.8060085773468","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB11FIP4"
"ZNHIT6","Zinc Finger HIT-Type Containing 6","Protein Coding","Q9NWK9","46","GC01M085649","2.80600762367249","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNHIT6"
"VASH1","Vasohibin 1","Protein Coding","Q7L8A9","43","GC14P076761","2.80593037605286","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VASH1"
"CD109","CD109 Molecule","Protein Coding","Q6YHK3","50","GC06P145257","2.8054211139679","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD109"
"DOK1","Docking Protein 1","Protein Coding","Q99704","54","GC02P074549","2.80534672737122","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOK1"
"BBIP1","BBSome Interacting Protein 1","Protein Coding","A8MTZ0","43","GC10M110898","2.80352544784546","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBIP1"
"PDE4B","Phosphodiesterase 4B","Protein Coding","Q07343","58","GC01P065792","2.80281138420105","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE4B"
"RHAG","Rh Associated Glycoprotein","Protein Coding","Q02094","56","GC06M049605","2.80248951911926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHAG"
"ADAM33","ADAM Metallopeptidase Domain 33","Protein Coding","Q9BZ11","49","GC20M004181","2.80244588851929","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM33"
"GRIP1","Glutamate Receptor Interacting Protein 1","Protein Coding","Q9Y3R0","56","GC12M066347","2.80153775215149","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIP1"
"DINOL","Damage Induced Long Noncoding RNA","RNA Gene","","12","GC06M098115","2.80153322219849","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DINOL"
"TXNRD3","Thioredoxin Reductase 3","Protein Coding","Q86VQ6","46","GC03M126577","2.79967141151428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNRD3"
"SLC26A6","Solute Carrier Family 26 Member 6","Protein Coding","Q9BXS9","51","GC03M048625","2.79925465583801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A6"
"FBN3","Fibrillin 3","Protein Coding","Q75N90","50","GC19M008065","2.7992467880249","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN3"
"CBLL1","Cbl Proto-Oncogene Like 1","Protein Coding","Q75N03","46","GC07P107743","2.79910326004028","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBLL1"
"ATAD3B","ATPase Family AAA Domain Containing 3B","Protein Coding","Q5T9A4","48","GC01P050653","2.7986581325531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATAD3B"
"KIR2DL1","Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Long Cytoplasmic Tail 1","Protein Coding","P43626","48","GC19P123687","2.79716944694519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DL1"
"ZNF677","Zinc Finger Protein 677","Protein Coding","Q86XU0","35","GC19M053235","2.79673767089844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF677"
"BPIFB2","BPI Fold Containing Family B Member 2","Protein Coding","Q8N4F0","45","GC20P033007","2.796715259552","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BPIFB2"
"HAT1","Histone Acetyltransferase 1","Protein Coding","O14929","52","GC02P171922","2.79626393318176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAT1"
"EIF4A2","Eukaryotic Translation Initiation Factor 4A2","Protein Coding","Q14240","57","GC03P186783","2.79579520225525","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4A2"
"LRP2BP","LRP2 Binding Protein","Protein Coding","Q9P2M1","42","GC04M185363","2.79558038711548","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP2BP"
"GRIK2","Glutamate Ionotropic Receptor Kainate Type Subunit 2","Protein Coding","Q13002","62","GC06P100962","2.79532504081726","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIK2"
"MCM9","Minichromosome Maintenance 9 Homologous Recombination Repair Factor","Protein Coding","Q9NXL9","50","GC06M118813","2.79524946212769","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM9"
"ASB7","Ankyrin Repeat And SOCS Box Containing 7","Protein Coding","Q9H672","43","GC15P100602","2.79466414451599","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASB7"
"INTS8","Integrator Complex Subunit 8","Protein Coding","Q75QN2","51","GC08P094813","2.7945442199707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INTS8"
"RBBP9","RB Binding Protein 9, Serine Hydrolase","Protein Coding","O75884","45","GC20M018486","2.79368782043457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBBP9"
"ITPR2","Inositol 1,4,5-Trisphosphate Receptor Type 2","Protein Coding","Q14571","56","GC12M031068","2.79358100891113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITPR2"
"CAVIN1","Caveolae Associated Protein 1","Protein Coding","Q6NZI2","54","GC17M085222","2.79331803321838","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAVIN1"
"LGR4","Leucine Rich Repeat Containing G Protein-Coupled Receptor 4","Protein Coding","Q9BXB1","53","GC11M027365","2.79310894012451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGR4"
"MIR875","MicroRNA 875","RNA Gene","","24","GC08M099538","2.79294872283936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR875"
